Server listening on  8443
Node-Red started
Inject: 1.231ms
Template: 0.096ms
Split: 1.614ms
Join: 0.443ms
Join: 0.046ms
Join: 0.013ms
Join: 0.231ms
Debug: 0.154ms
Inject: 0.094ms
Template: 0.195ms
Split: 0.21ms
Join: 0.05ms
Join: 0.015ms
Join: 0.015ms
Join: 0.087ms
Debug: 0.038ms
Inject: 0.101ms
Inject: 0.065ms
Template: 0.073ms
Template: 0.222ms
CSV: 0.611ms
Split: 0.127ms
Join: 0.063ms
Join: 0.017ms
Join: 0.016ms
Join: 0.135ms
Join: 0.036ms
Join: 0.011ms
Join: 0.01ms
Join: 0.065ms
Debug: 0.348ms
Debug: 0.032ms
Inject: 0.206ms
Template: 0.077ms
Split: 0.15ms
Join: 0.041ms
Join: 0.01ms
Join: 0.01ms
Join: 0.063ms
Debug: 0.033ms
Inject: 0.101ms
Template: 0.036ms
Split: 0.153ms
Join: 0.044ms
Join: 0.011ms
Join: 0.01ms
Join: 0.05ms
Debug: 0.037ms
Inject: 0.077ms
Inject: 0.039ms
Template: 0.047ms
Template: 0.031ms
CSV: 0.22ms
CSV: 0.127ms
Inject: 0.034ms
Switch: 0.273ms
Switch: 0.009ms
Switch: 0.008ms
Switch: 1.162ms
Join: 0.035ms
Join: 0.011ms
Join: 0.013ms
Join: 0.064ms
Template: 0.023ms
Join: 0.038ms
Join: 0.067ms
Debug: 0.136ms
Split: 0.098ms
Debug: 0.054ms
Join: 0.046ms
Join: 0.009ms
Join: 0.008ms
Join: 0.156ms
Debug: 0.029ms
Inject: 0.079ms
Template: 0.036ms
Split: 0.105ms
Join: 0.032ms
Join: 0.008ms
Join: 0.008ms
Join: 0.05ms
Debug: 0.033ms
Inject: 0.069ms
Template: 0.043ms
Split: 0.144ms
Join: 0.045ms
Join: 0.012ms
Join: 0.008ms
Join: 0.068ms
Debug: 0.045ms
Inject: 0.246ms
Template: 0.045ms
CSV: 0.54ms
Join: 0.053ms
Join: 0.011ms
Join: 0.007ms
Join: 0.067ms
Debug: 0.175ms
Inject: 0.08ms
Template: 0.035ms
Split: 0.183ms
Join: 0.054ms
Join: 0.012ms
Join: 0.008ms
Join: 0.144ms
Debug: 0.041ms
Inject: 0.07ms
Template: 0.03ms
Split: 0.146ms
Join: 0.034ms
Join: 0.009ms
Join: 0.01ms
Join: 0.065ms
Debug: 0.026ms
Inject: 0.085ms
Template: 0.037ms
Split: 0.142ms
Join: 0.042ms
Join: 0.012ms
Join: 0.01ms
Join: 0.062ms
Debug: 0.025ms
Inject: 0.084ms
Inject: 0.036ms
Template: 0.04ms
Template: 0.024ms
CSV: 0.195ms
CSV: 0.121ms
Switch: 0.032ms
Switch: 0.013ms
Switch: 0.013ms
Switch: 0.189ms
Join: 0.029ms
Join: 0.03ms
Join: 0.009ms
Join: 0.065ms
Join: 0.037ms
Join: 0.049ms
Debug: 0.14ms
Debug: 0.033ms
Inject: 0.041ms
Template: 0.026ms
Split: 0.112ms
Join: 0.024ms
Join: 0.008ms
Join: 0.038ms
Join: 0.053ms
Debug: 0.023ms
Inject: 0.075ms
Template: 0.038ms
Split: 0.127ms
Join: 0.027ms
Join: 0.008ms
Join: 0.008ms
Join: 0.062ms
Debug: 0.029ms
Inject: 0.077ms
Template: 0.038ms
Split: 0.147ms
Join: 0.029ms
Join: 0.009ms
Join: 0.008ms
Join: 0.066ms
Debug: 0.026ms
Inject: 0.071ms
Template: 0.027ms
CSV: 0.154ms
Join: 0.043ms
Join: 0.011ms
Join: 0.01ms
Join: 0.176ms
Debug: 0.06ms
Inject: 0.073ms
Template: 0.032ms
Split: 0.154ms
Join: 0.036ms
Join: 0.027ms
Join: 0.01ms
Join: 0.078ms
Debug: 0.034ms
Inject: 0.07ms
Template: 0.027ms
Split: 0.138ms
Join: 0.061ms
Join: 0.01ms
Join: 0.009ms
Join: 0.092ms
Debug: 0.028ms
Inject: 0.117ms
Template: 0.053ms
Split: 0.165ms
Join: 0.034ms
Join: 0.008ms
Join: 0.008ms
Join: 0.051ms
Debug: 0.044ms
Inject: 0.085ms
Template: 0.026ms
Inject: 0.033ms
CSV: 0.14ms
Template: 0.019ms
Switch: 0.026ms
Switch: 0.008ms
Switch: 0.011ms
Switch: 0.257ms
CSV: 0.108ms
Join: 0.035ms
Join: 0.067ms
Join: 0.023ms
Join: 0.009ms
Join: 0.008ms
Join: 0.057ms
Debug: 0.052ms
Debug: 0.084ms
Inject: 0.051ms
Template: 0.048ms
Split: 0.113ms
Join: 0.026ms
Join: 0.008ms
Join: 0.007ms
Join: 0.046ms
Debug: 0.04ms
