Server listening on  8443
Node-Red started
Inject: 1.26ms
Template: 0.105ms
Inject: 0.071ms
Inject: 0.088ms
Inject: 0.048ms
Split: 1.109ms
Template: 0.207ms
Template: 0.055ms
Template: 0.211ms
Debug: 0.257ms
Debug: 0.033ms
Debug: 0.034ms
Split: 0.361ms
Split: 0.259ms
Split: 0.122ms
Debug: 0.03ms
Debug: 0.025ms
Debug: 0.036ms
Debug: 0.294ms
Debug: 0.045ms
Debug: 0.027ms
Debug: 0.126ms
Debug: 0.032ms
Debug: 0.343ms
Debug: 0.112ms
Debug: 0.041ms
Inject: 0.325ms
Template: 0.048ms
Inject: 0.05ms
Inject: 0.043ms
Split: 0.141ms
Template: 0.125ms
Template: 0.037ms
Debug: 0.028ms
Debug: 0.019ms
Debug: 0.018ms
Split: 0.133ms
Split: 0.095ms
Inject: 0.042ms
Debug: 0.019ms
Debug: 0.016ms
Debug: 0.015ms
Debug: 0.018ms
Debug: 0.015ms
Debug: 0.015ms
Debug: 0.019ms
Debug: 0.015ms
Template: 0.028ms
Split: 0.081ms
Debug: 0.05ms
Debug: 0.038ms
Debug: 0.105ms
Inject: 0.067ms
Inject: 0.043ms
Inject: 0.029ms
Inject: 0.038ms
Template: 0.025ms
Template: 0.021ms
Template: 0.028ms
Template: 0.024ms
Split: 0.101ms
Split: 0.114ms
Split: 0.071ms
Split: 0.072ms
Debug: 0.023ms
Debug: 0.023ms
Debug: 0.016ms
Debug: 0.015ms
Debug: 0.015ms
Debug: 0.015ms
Debug: 0.017ms
Debug: 0.018ms
Debug: 0.019ms
Debug: 0.022ms
Debug: 0.015ms
Debug: 0.056ms
Debug: 0.03ms
Debug: 0.029ms
Inject: 0.098ms
Inject: 0.037ms
Inject: 0.031ms
Inject: 0.043ms
Template: 0.027ms
Template: 0.035ms
Template: 0.031ms
Template: 0.036ms
Split: 0.166ms
Split: 0.139ms
Split: 0.078ms
Split: 0.109ms
Debug: 0.023ms
Debug: 0.016ms
Debug: 0.017ms
Debug: 0.017ms
Debug: 0.015ms
Debug: 0.015ms
Debug: 0.014ms
Debug: 0.018ms
Debug: 0.018ms
Debug: 0.015ms
Debug: 0.014ms
Debug: 0.05ms
Debug: 0.029ms
Debug: 0.028ms
Inject: 0.352ms
Inject: 0.099ms
Inject: 0.033ms
Inject: 0.031ms
Template: 0.041ms
Template: 0.04ms
Template: 0.043ms
Template: 0.031ms
Split: 0.165ms
Split: 0.183ms
Split: 0.12ms
Split: 0.094ms
Debug: 0.102ms
Debug: 0.026ms
Debug: 0.013ms
Debug: 0.015ms
Debug: 0.016ms
Debug: 0.012ms
Debug: 0.012ms
Debug: 0.014ms
Debug: 0.018ms
Debug: 0.012ms
Debug: 0.012ms
Debug: 0.048ms
Debug: 0.024ms
Debug: 0.023ms
Inject: 0.077ms
Inject: 0.04ms
Inject: 0.034ms
Inject: 0.071ms
Template: 0.03ms
Template: 0.023ms
Template: 0.032ms
Template: 0.023ms
Split: 0.177ms
Split: 0.15ms
Split: 0.079ms
Split: 0.128ms
Debug: 0.022ms
Debug: 0.028ms
Debug: 0.026ms
Debug: 0.027ms
Debug: 0.02ms
Debug: 0.013ms
Debug: 0.016ms
Debug: 0.014ms
Debug: 0.015ms
Debug: 0.015ms
Debug: 0.012ms
Debug: 0.037ms
Debug: 0.023ms
Debug: 0.029ms
Inject: 0.116ms
Inject: 0.059ms
Inject: 0.062ms
Inject: 0.032ms
Template: 0.024ms
Template: 0.057ms
Template: 0.042ms
Template: 0.022ms
Split: 0.188ms
Split: 0.224ms
Split: 0.15ms
Split: 0.122ms
Debug: 0.051ms
Debug: 0.014ms
Debug: 0.012ms
Debug: 0.012ms
Debug: 0.015ms
Debug: 0.015ms
Debug: 0.018ms
Debug: 0.012ms
Debug: 0.015ms
Debug: 0.015ms
Debug: 0.013ms
Debug: 0.037ms
Debug: 0.026ms
Debug: 0.028ms
Inject: 0.099ms
Inject: 0.042ms
Inject: 0.057ms
Inject: 0.04ms
Template: 0.027ms
Template: 0.021ms
Template: 0.057ms
Template: 0.054ms
Split: 0.777ms
Split: 0.123ms
Split: 0.085ms
Split: 0.079ms
Debug: 0.023ms
Debug: 0.015ms
Debug: 0.012ms
Debug: 0.013ms
Debug: 0.014ms
Debug: 0.014ms
Debug: 0.012ms
Debug: 0.012ms
Debug: 0.013ms
Debug: 0.015ms
Debug: 0.014ms
Debug: 0.037ms
Debug: 0.026ms
Debug: 0.025ms
Inject: 0.147ms
Inject: 0.046ms
Inject: 0.037ms
Inject: 0.035ms
Template: 0.031ms
Template: 0.025ms
Template: 0.029ms
Template: 0.032ms
Split: 0.153ms
Split: 0.146ms
Split: 0.101ms
Split: 0.095ms
Debug: 0.029ms
Debug: 0.016ms
Debug: 0.017ms
Debug: 0.016ms
Debug: 0.012ms
Debug: 0.012ms
Debug: 0.015ms
Debug: 0.014ms
Debug: 0.012ms
Debug: 0.012ms
Debug: 0.015ms
Debug: 0.051ms
Debug: 0.027ms
Debug: 0.024ms
Inject: 0.075ms
Inject: 0.036ms
Inject: 0.035ms
Inject: 0.059ms
Template: 0.024ms
Template: 0.045ms
Template: 0.044ms
Template: 0.052ms
Split: 0.107ms
Split: 0.443ms
Split: 0.093ms
Split: 0.119ms
Debug: 0.024ms
Debug: 0.017ms
Debug: 0.016ms
Debug: 0.012ms
Debug: 0.012ms
Debug: 0.014ms
Debug: 0.015ms
Debug: 0.013ms
Debug: 0.012ms
Debug: 0.012ms
Debug: 0.015ms
Debug: 0.038ms
Debug: 0.022ms
Debug: 0.023ms
Inject: 0.081ms
Inject: 0.038ms
Inject: 0.028ms
Inject: 0.026ms
Template: 0.025ms
Template: 0.02ms
Template: 0.027ms
Template: 0.022ms
Split: 0.11ms
Split: 0.124ms
Split: 0.074ms
Split: 0.073ms
Debug: 0.019ms
Debug: 0.016ms
Debug: 0.015ms
Debug: 0.012ms
Debug: 0.012ms
Debug: 0.015ms
Debug: 0.014ms
Debug: 0.013ms
Debug: 0.011ms
Debug: 0.012ms
Debug: 0.017ms
Debug: 0.037ms
Debug: 0.025ms
Debug: 0.021ms
Inject: 0.117ms
Inject: 0.1ms
Inject: 0.028ms
Inject: 0.027ms
Template: 0.113ms
Template: 0.054ms
Template: 0.047ms
Template: 0.024ms
Split: 0.103ms
Split: 0.118ms
Split: 0.106ms
Split: 0.08ms
Debug: 0.019ms
Debug: 0.018ms
Debug: 0.017ms
Debug: 0.027ms
Debug: 0.134ms
Debug: 0.013ms
Debug: 0.013ms
Debug: 0.016ms
Debug: 0.013ms
Debug: 0.012ms
Debug: 0.012ms
Debug: 0.038ms
Debug: 0.026ms
Debug: 0.022ms
Inject: 0.078ms
Inject: 0.093ms
Inject: 0.036ms
Inject: 0.075ms
Template: 0.027ms
Template: 0.021ms
Template: 0.029ms
Template: 0.024ms
Split: 0.108ms
Split: 0.124ms
Split: 0.116ms
Split: 0.17ms
Debug: 0.036ms
Debug: 0.016ms
Debug: 0.013ms
Debug: 0.015ms
Debug: 0.017ms
Debug: 0.014ms
Debug: 0.013ms
Debug: 0.013ms
Debug: 0.014ms
Debug: 0.015ms
Debug: 0.015ms
Debug: 0.037ms
Debug: 0.023ms
Debug: 0.026ms
Inject: 0.088ms
Inject: 0.058ms
Inject: 0.06ms
Inject: 0.053ms
Template: 0.044ms
Template: 0.04ms
Template: 0.053ms
Template: 0.025ms
Split: 0.117ms
Split: 0.139ms
Split: 0.092ms
Split: 0.092ms
Debug: 0.019ms
Debug: 0.012ms
Debug: 0.011ms
Debug: 0.014ms
Debug: 0.014ms
Debug: 0.012ms
Debug: 0.012ms
Debug: 0.014ms
Debug: 0.014ms
Debug: 0.013ms
Debug: 0.012ms
Debug: 0.037ms
Debug: 0.023ms
Debug: 0.023ms
Inject: 0.067ms
Inject: 0.128ms
Inject: 0.321ms
Inject: 0.033ms
Template: 0.024ms
Template: 0.044ms
Template: 0.034ms
Template: 0.032ms
Split: 0.097ms
