Server listening on  8443
Node-Red started
Inject: 1.462ms
UDP: 0.268ms
UDP: 0.063ms
Debug: 0.255ms
Inject: 0.108ms
UDP: 0.04ms
UDP: 0.065ms
Debug: 0.041ms
Inject: 0.08ms
UDP: 0.055ms
UDP: 0.05ms
Debug: 0.042ms
Inject: 0.09ms
UDP: 0.037ms
UDP: 0.11ms
Debug: 0.045ms
Inject: 0.268ms
UDP: 0.037ms
UDP: 0.055ms
Debug: 0.035ms
Inject: 0.111ms
UDP: 0.046ms
UDP: 0.053ms
Debug: 0.188ms
Inject: 0.097ms
UDP: 0.039ms
UDP: 0.057ms
Debug: 0.043ms
Inject: 0.092ms
UDP: 0.037ms
UDP: 0.039ms
Debug: 0.043ms
Inject: 0.338ms
UDP: 0.044ms
UDP: 0.063ms
Debug: 0.074ms
Inject: 0.096ms
UDP: 0.045ms
UDP: 0.056ms
Debug: 0.043ms
Inject: 0.283ms
UDP: 0.056ms
UDP: 0.035ms
Debug: 0.038ms
Inject: 0.093ms
UDP: 0.044ms
UDP: 0.035ms
Debug: 0.045ms
Inject: 0.105ms
UDP: 0.041ms
UDP: 0.063ms
Debug: 0.031ms
Inject: 0.189ms
UDP: 0.045ms
UDP: 0.07ms
Debug: 0.037ms
Inject: 0.103ms
UDP: 0.048ms
UDP: 0.05ms
Debug: 0.032ms
Inject: 0.067ms
UDP: 0.045ms
UDP: 0.031ms
Debug: 0.041ms
Inject: 0.062ms
UDP: 0.153ms
UDP: 0.035ms
Debug: 0.034ms
Inject: 0.075ms
UDP: 0.049ms
UDP: 0.04ms
Debug: 0.035ms
Inject: 0.079ms
UDP: 0.032ms
UDP: 0.033ms
Debug: 0.036ms
Inject: 0.117ms
UDP: 0.071ms
UDP: 0.06ms
Debug: 0.049ms
