Server listening on  8443
Node-Red started
Inject: 0.837ms
WriteFile: 0.601ms
ReadFile: 0.387ms
Debug: 0.161ms
Inject: 0.089ms
WriteFile: 0.07ms
ReadFile: 0.124ms
Debug: 0.031ms
Inject: 0.087ms
WriteFile: 0.092ms
ReadFile: 0.055ms
Debug: 0.111ms
Inject: 0.092ms
WriteFile: 0.084ms
ReadFile: 0.057ms
Debug: 0.031ms
Inject: 0.141ms
WriteFile: 0.139ms
ReadFile: 0.055ms
Debug: 0.03ms
Inject: 0.083ms
WriteFile: 0.075ms
ReadFile: 0.059ms
Debug: 0.034ms
Inject: 0.088ms
WriteFile: 0.086ms
ReadFile: 0.056ms
Debug: 0.04ms
Inject: 0.072ms
WriteFile: 0.193ms
ReadFile: 0.05ms
Debug: 0.035ms
Inject: 0.352ms
WriteFile: 0.119ms
ReadFile: 0.165ms
Debug: 0.05ms
Inject: 0.094ms
WriteFile: 0.219ms
ReadFile: 0.159ms
Debug: 0.042ms
Inject: 0.174ms
WriteFile: 0.146ms
ReadFile: 0.23ms
Debug: 0.031ms
Inject: 0.071ms
WriteFile: 0.107ms
ReadFile: 0.167ms
Debug: 0.025ms
Inject: 0.073ms
WriteFile: 0.073ms
ReadFile: 0.122ms
Debug: 0.023ms
Inject: 0.054ms
WriteFile: 0.078ms
ReadFile: 0.059ms
Debug: 0.023ms
Inject: 0.054ms
WriteFile: 0.119ms
ReadFile: 0.036ms
Debug: 0.02ms
Inject: 0.069ms
WriteFile: 0.075ms
ReadFile: 0.056ms
Debug: 0.036ms
Inject: 0.055ms
WriteFile: 0.074ms
ReadFile: 0.057ms
Debug: 0.023ms
Inject: 0.06ms
WriteFile: 0.064ms
ReadFile: 0.055ms
Debug: 0.019ms
Inject: 0.063ms
WriteFile: 0.069ms
ReadFile: 0.042ms
Debug: 0.023ms
Inject: 0.069ms
WriteFile: 0.07ms
ReadFile: 0.042ms
Debug: 0.028ms
