Server listening on  8443
Node-Red started
Inject: 1.209ms
Template: 0.098ms
YAML: 2.514ms
Debug: 1.46ms
Inject: 0.341ms
Template: 0.048ms
YAML: 0.142ms
Debug: 0.21ms
Inject: 0.118ms
Template: 0.066ms
YAML: 0.382ms
Debug: 0.147ms
Inject: 0.106ms
Template: 0.05ms
YAML: 0.24ms
Debug: 0.258ms
Inject: 0.12ms
Template: 0.054ms
YAML: 0.116ms
Debug: 0.174ms
Inject: 0.239ms
Template: 0.04ms
YAML: 0.109ms
Debug: 0.256ms
Inject: 0.222ms
Template: 0.049ms
YAML: 0.263ms
Debug: 0.305ms
Inject: 0.122ms
Template: 0.084ms
YAML: 0.255ms
Debug: 0.143ms
Inject: 0.112ms
Template: 0.036ms
YAML: 0.347ms
Debug: 0.461ms
Inject: 0.12ms
Template: 0.056ms
YAML: 0.365ms
Debug: 0.379ms
Inject: 0.096ms
Template: 0.037ms
YAML: 0.117ms
Debug: 0.231ms
Inject: 0.096ms
Template: 0.03ms
YAML: 0.098ms
Debug: 0.243ms
Inject: 0.115ms
Template: 0.032ms
YAML: 0.292ms
Debug: 0.213ms
Inject: 0.076ms
Template: 0.035ms
YAML: 0.115ms
Debug: 0.28ms
Inject: 0.068ms
Template: 0.041ms
YAML: 0.1ms
Debug: 0.226ms
Inject: 0.076ms
Template: 0.043ms
YAML: 0.1ms
Debug: 0.139ms
Inject: 0.068ms
Template: 0.027ms
YAML: 0.098ms
Debug: 0.135ms
Inject: 0.079ms
Template: 0.035ms
YAML: 0.216ms
Debug: 0.16ms
Inject: 0.077ms
Template: 0.042ms
YAML: 0.186ms
Debug: 0.125ms
Inject: 0.072ms
Template: 0.032ms
YAML: 0.096ms
Debug: 0.112ms
