Server listening on  8443
Node-Red started
Inject: 1.247ms
Template: 0.103ms
Change: 0.533ms
XML: 0.861ms
Debug: 8.062ms
Inject: 0.101ms
Template: 0.049ms
Change: 0.052ms
XML: 0.222ms
Debug: 0.316ms
Inject: 0.108ms
Template: 0.058ms
Change: 0.061ms
XML: 0.054ms
Debug: 0.162ms
Inject: 0.094ms
Template: 0.215ms
Change: 0.053ms
XML: 0.059ms
Debug: 0.26ms
Inject: 0.086ms
Template: 0.04ms
Change: 0.065ms
XML: 0.263ms
Debug: 0.149ms
Inject: 0.12ms
Template: 0.104ms
Change: 0.052ms
XML: 0.053ms
Debug: 0.252ms
Inject: 0.085ms
Template: 0.036ms
Change: 0.053ms
XML: 0.049ms
Debug: 0.37ms
Inject: 0.104ms
Template: 0.255ms
Change: 0.071ms
XML: 0.04ms
Debug: 0.226ms
Inject: 0.097ms
Template: 0.041ms
Change: 0.108ms
XML: 0.153ms
Debug: 0.355ms
Inject: 0.072ms
Template: 0.029ms
Change: 0.056ms
XML: 0.061ms
Debug: 0.431ms
Inject: 0.101ms
Template: 0.04ms
Change: 0.093ms
XML: 0.047ms
Debug: 0.131ms
Inject: 0.218ms
Template: 0.035ms
Change: 0.054ms
XML: 0.048ms
Debug: 0.141ms
Inject: 0.077ms
Template: 0.049ms
Change: 0.056ms
XML: 0.07ms
Debug: 0.13ms
Inject: 0.143ms
Template: 0.068ms
Change: 0.07ms
XML: 0.06ms
Debug: 0.285ms
Inject: 0.081ms
Template: 0.033ms
Change: 0.097ms
XML: 0.061ms
Debug: 0.272ms
Inject: 0.121ms
Template: 0.076ms
Change: 0.07ms
XML: 0.075ms
Debug: 0.129ms
Inject: 0.072ms
Template: 0.031ms
Change: 0.101ms
XML: 0.249ms
Debug: 0.117ms
Inject: 0.066ms
Template: 0.031ms
Change: 0.143ms
XML: 0.047ms
Debug: 0.11ms
Inject: 0.07ms
Template: 0.143ms
Change: 0.071ms
XML: 0.09ms
Debug: 0.11ms
Inject: 0.071ms
Template: 0.033ms
Change: 0.235ms
XML: 0.056ms
Debug: 0.104ms
