Server listening on  8443
Node-Red started
Inject: 1.29ms
Template: 1.06ms
CSV: 1.41ms
Join: 0.212ms
Join: 0.018ms
Join: 0.432ms
CSV: 0.501ms
Debug: 0.209ms
Inject: 0.118ms
Template: 0.033ms
CSV: 0.249ms
Join: 0.06ms
Join: 0.016ms
Join: 0.103ms
CSV: 0.1ms
Debug: 0.066ms
Inject: 0.107ms
Template: 0.024ms
CSV: 0.458ms
Join: 0.045ms
Join: 0.013ms
Join: 0.093ms
CSV: 0.119ms
Debug: 0.061ms
Inject: 0.1ms
Template: 0.024ms
CSV: 0.188ms
Join: 0.054ms
Join: 0.012ms
Join: 0.077ms
CSV: 0.062ms
Debug: 0.064ms
Inject: 0.085ms
Template: 0.027ms
CSV: 0.164ms
Join: 0.048ms
Join: 0.011ms
Join: 0.066ms
CSV: 0.064ms
Debug: 0.06ms
Inject: 0.102ms
Template: 0.026ms
CSV: 0.122ms
Join: 0.042ms
Join: 0.011ms
Join: 0.093ms
CSV: 0.06ms
Debug: 0.061ms
Inject: 0.114ms
Template: 0.023ms
CSV: 0.199ms
Join: 0.056ms
Join: 0.011ms
Join: 0.057ms
CSV: 0.071ms
Debug: 0.336ms
Inject: 0.07ms
Template: 0.024ms
CSV: 0.128ms
Join: 0.05ms
Join: 0.013ms
Join: 0.069ms
CSV: 0.057ms
Debug: 0.073ms
Inject: 0.093ms
Template: 0.025ms
CSV: 0.352ms
Join: 0.066ms
Join: 0.029ms
Join: 0.38ms
CSV: 0.063ms
Debug: 0.123ms
Inject: 0.102ms
Template: 0.028ms
CSV: 0.256ms
Join: 0.067ms
Join: 0.027ms
Join: 0.061ms
CSV: 0.09ms
Debug: 0.121ms
Inject: 0.078ms
Template: 0.021ms
CSV: 0.124ms
Join: 0.064ms
Join: 0.008ms
Join: 0.056ms
CSV: 0.057ms
Debug: 0.069ms
Inject: 0.081ms
Template: 0.031ms
CSV: 0.169ms
Join: 0.035ms
Join: 0.023ms
Join: 0.054ms
CSV: 0.059ms
Debug: 0.063ms
Inject: 0.086ms
Template: 0.018ms
CSV: 0.142ms
Join: 0.042ms
Join: 0.01ms
Join: 0.066ms
CSV: 0.06ms
Debug: 0.069ms
Inject: 0.069ms
Template: 0.023ms
CSV: 0.183ms
Join: 0.035ms
Join: 0.009ms
Join: 0.086ms
CSV: 0.079ms
Debug: 0.105ms
Inject: 0.073ms
Template: 0.021ms
CSV: 0.158ms
Join: 0.037ms
Join: 0.009ms
Join: 0.064ms
CSV: 0.057ms
Debug: 0.091ms
Inject: 0.105ms
Template: 0.056ms
CSV: 0.188ms
Join: 0.03ms
Join: 0.029ms
Join: 0.062ms
CSV: 0.069ms
Debug: 0.085ms
Inject: 0.08ms
Template: 0.036ms
CSV: 0.195ms
Join: 0.033ms
Join: 0.028ms
Join: 0.098ms
CSV: 0.057ms
Debug: 0.089ms
Inject: 0.076ms
Template: 0.02ms
CSV: 0.12ms
Join: 0.036ms
Join: 0.009ms
Join: 0.183ms
CSV: 0.076ms
Debug: 0.052ms
Inject: 0.075ms
Template: 0.021ms
CSV: 0.136ms
Join: 0.041ms
Join: 0.01ms
Join: 0.078ms
CSV: 0.057ms
Debug: 0.053ms
Inject: 0.078ms
Template: 0.02ms
CSV: 0.162ms
Join: 0.054ms
Join: 0.009ms
Join: 0.097ms
CSV: 0.085ms
Debug: 0.073ms
