Server listening on  8443
Node-Red started
Inject: 1.222ms
TCP: 3.289ms
Debug: 1.808ms
Inject: 0.105ms
TCP: 0.124ms
Debug: 0.267ms
Inject: 0.081ms
TCP: 0.124ms
Debug: 0.353ms
Inject: 0.117ms
TCP: 0.162ms
Debug: 0.214ms
Inject: 0.113ms
TCP: 0.114ms
Debug: 0.375ms
Inject: 0.217ms
TCP: 0.1ms
Debug: 0.233ms
Inject: 0.107ms
TCP: 0.084ms
Debug: 0.355ms
Inject: 0.102ms
TCP: 0.087ms
Debug: 0.199ms
Inject: 0.154ms
TCP: 0.138ms
Debug: 0.369ms
Inject: 0.138ms
TCP: 0.104ms
Debug: 0.515ms
Inject: 0.103ms
TCP: 0.096ms
Debug: 0.395ms
Inject: 0.107ms
TCP: 0.107ms
Debug: 0.197ms
Inject: 0.308ms
TCP: 0.107ms
Debug: 0.321ms
Inject: 0.215ms
TCP: 0.434ms
Debug: 0.296ms
Inject: 0.102ms
TCP: 0.116ms
Debug: 0.175ms
Inject: 0.081ms
TCP: 0.093ms
Debug: 0.165ms
Inject: 0.073ms
TCP: 0.127ms
Debug: 0.326ms
Inject: 0.071ms
TCP: 0.094ms
Debug: 0.395ms
Inject: 0.079ms
TCP: 0.21ms
Debug: 0.172ms
Inject: 0.086ms
TCP: 0.109ms
Debug: 0.176ms
