Server listening on  8443
Node-Red started
WebSocketIn: 0.233ms
Inject: 1.178ms
WebSocket: 0.597ms
Debug: 0.281ms
Inject: 0.108ms
WebSocket: 0.234ms
Debug: 0.063ms
Inject: 0.13ms
WebSocket: 0.212ms
Debug: 0.099ms
Inject: 0.096ms
WebSocket: 0.153ms
Debug: 0.07ms
Inject: 0.343ms
WebSocket: 0.164ms
Debug: 0.062ms
Inject: 0.123ms
WebSocket: 0.183ms
Debug: 0.089ms
Inject: 0.111ms
WebSocket: 0.317ms
Debug: 0.071ms
Inject: 0.097ms
WebSocket: 0.186ms
Debug: 0.082ms
Inject: 0.271ms
WebSocket: 0.175ms
Debug: 0.083ms
Inject: 0.089ms
WebSocket: 0.175ms
Debug: 0.166ms
Inject: 0.095ms
WebSocket: 0.185ms
Debug: 0.081ms
Inject: 0.114ms
WebSocket: 0.179ms
Debug: 0.066ms
Inject: 0.093ms
WebSocket: 0.176ms
Debug: 0.064ms
Inject: 0.291ms
WebSocket: 0.218ms
Debug: 0.067ms
Inject: 0.113ms
WebSocket: 0.231ms
Debug: 0.059ms
Inject: 0.079ms
WebSocket: 0.476ms
Debug: 0.059ms
Inject: 0.072ms
WebSocket: 0.179ms
Debug: 0.184ms
Inject: 0.068ms
WebSocket: 0.174ms
Debug: 0.078ms
Inject: 0.2ms
WebSocket: 0.159ms
Debug: 0.059ms
Inject: 0.09ms
WebSocket: 0.147ms
Debug: 0.069ms
Inject: 0.065ms
WebSocket: 0.146ms
Debug: 0.071ms
