Server listening on  8443
Node-Red started
Inject: 1.247ms
Template: 0.117ms
JSON: 0.156ms
Debug: 0.209ms
Inject: 0.194ms
Template: 0.061ms
JSON: 0.046ms
Debug: 0.058ms
Inject: 0.102ms
Template: 0.072ms
JSON: 0.21ms
Debug: 0.166ms
Inject: 0.107ms
Template: 0.062ms
JSON: 0.053ms
Debug: 0.171ms
Inject: 0.108ms
Template: 0.082ms
JSON: 0.054ms
Debug: 0.065ms
Inject: 0.092ms
Template: 0.074ms
JSON: 0.057ms
Debug: 0.075ms
Inject: 0.102ms
Template: 0.06ms
JSON: 0.098ms
Debug: 0.093ms
Inject: 0.091ms
Template: 0.054ms
JSON: 0.045ms
Debug: 0.073ms
Inject: 0.116ms
Template: 0.052ms
JSON: 0.295ms
Debug: 0.106ms
Inject: 0.118ms
Template: 0.098ms
JSON: 0.058ms
Debug: 0.086ms
Inject: 0.118ms
Template: 0.044ms
JSON: 0.066ms
Debug: 0.086ms
Inject: 0.094ms
Template: 0.037ms
JSON: 0.037ms
Debug: 0.19ms
Inject: 0.079ms
Template: 0.052ms
JSON: 0.064ms
Debug: 0.084ms
Inject: 0.079ms
Template: 0.044ms
JSON: 0.045ms
Debug: 0.08ms
Inject: 0.08ms
Template: 0.091ms
JSON: 0.046ms
Debug: 0.095ms
Inject: 0.069ms
Template: 0.045ms
JSON: 0.048ms
Debug: 0.077ms
Inject: 0.077ms
Template: 0.045ms
JSON: 0.035ms
Debug: 0.053ms
Inject: 0.075ms
Template: 0.062ms
JSON: 0.044ms
Debug: 0.08ms
Inject: 0.08ms
Template: 0.043ms
JSON: 0.042ms
Debug: 0.077ms
Inject: 0.088ms
Template: 0.056ms
JSON: 0.053ms
Debug: 0.064ms
