Server listening on  8443
Node-Red started
Inject: 1.319ms
Template: 0.108ms
HTML: 19.751ms
Join: 0.171ms
Join: 0.018ms
Join: 0.256ms
Debug: 0.218ms
Inject: 0.108ms
Template: 0.043ms
HTML: 1.54ms
Join: 0.054ms
Join: 0.019ms
Join: 1.132ms
Debug: 0.075ms
Inject: 0.274ms
Template: 0.05ms
HTML: 1.661ms
Join: 0.208ms
Join: 0.015ms
Join: 0.075ms
Debug: 0.058ms
Inject: 0.106ms
Template: 0.053ms
HTML: 1.368ms
Join: 0.04ms
Join: 0.011ms
Join: 0.102ms
Debug: 0.064ms
Inject: 0.111ms
Template: 0.037ms
HTML: 1.384ms
Join: 0.036ms
Join: 0.029ms
Join: 0.153ms
Debug: 0.063ms
Inject: 0.149ms
Template: 0.061ms
HTML: 1.103ms
Join: 0.044ms
Join: 0.015ms
Join: 0.091ms
Debug: 0.128ms
Inject: 0.074ms
Template: 0.029ms
HTML: 0.911ms
Join: 0.037ms
Join: 0.01ms
Join: 0.061ms
Debug: 0.069ms
Inject: 0.064ms
Template: 0.029ms
HTML: 0.939ms
Join: 0.036ms
Join: 0.011ms
Join: 0.075ms
Debug: 0.228ms
Inject: 0.094ms
Template: 0.036ms
HTML: 1.005ms
Join: 0.059ms
Join: 0.016ms
Join: 0.066ms
Debug: 0.103ms
Inject: 0.098ms
Template: 0.035ms
HTML: 1.119ms
Join: 0.058ms
Join: 0.022ms
Join: 0.058ms
Debug: 0.087ms
Inject: 0.139ms
Template: 0.049ms
HTML: 0.797ms
Join: 0.044ms
Join: 0.008ms
Join: 0.077ms
Debug: 0.078ms
Inject: 0.22ms
Template: 0.035ms
HTML: 0.694ms
Join: 0.026ms
Join: 0.008ms
Join: 0.047ms
Debug: 0.06ms
Inject: 0.086ms
Template: 0.031ms
HTML: 0.858ms
Join: 0.025ms
Join: 0.008ms
Join: 0.047ms
Debug: 0.069ms
Inject: 0.069ms
Template: 0.028ms
HTML: 0.761ms
Join: 0.026ms
Join: 0.008ms
Join: 0.051ms
Debug: 0.064ms
Inject: 0.079ms
Template: 0.03ms
HTML: 0.926ms
Join: 0.026ms
Join: 0.009ms
Join: 0.055ms
Debug: 0.057ms
Inject: 0.073ms
Template: 0.076ms
HTML: 0.73ms
Join: 0.053ms
Join: 0.008ms
Join: 0.065ms
Debug: 0.064ms
Inject: 0.068ms
Template: 0.028ms
HTML: 0.935ms
Join: 0.022ms
Join: 0.018ms
Join: 0.069ms
Debug: 0.053ms
Inject: 0.071ms
Template: 0.037ms
HTML: 0.797ms
Join: 0.026ms
Join: 0.008ms
Join: 0.055ms
Debug: 0.057ms
Inject: 0.068ms
Template: 0.149ms
HTML: 0.66ms
Join: 0.026ms
Join: 0.008ms
Join: 0.049ms
Debug: 0.05ms
Inject: 0.069ms
Template: 0.04ms
HTML: 0.791ms
Join: 0.028ms
Join: 0.008ms
Join: 0.172ms
Debug: 0.068ms
Inject: 0.074ms
Template: 0.029ms
HTML: 0.657ms
Join: 0.024ms
Join: 0.027ms
Join: 0.225ms
Debug: 0.052ms
