Server listening on  8443
Node-Red started
Inject: 1.241ms
Template: 1.079ms
Sort: 0.321ms
Debug: 0.427ms
Inject: 0.35ms
Template: 0.021ms
Sort: 0.021ms
Debug: 0.136ms
Inject: 0.115ms
Template: 0.033ms
Sort: 0.02ms
Debug: 0.185ms
Inject: 0.111ms
Template: 0.027ms
Sort: 0.031ms
Debug: 0.064ms
Inject: 0.092ms
Template: 0.025ms
Sort: 0.144ms
Debug: 0.066ms
Inject: 0.108ms
Template: 0.028ms
Sort: 0.022ms
Debug: 0.063ms
Inject: 0.102ms
Template: 0.023ms
Sort: 0.025ms
Debug: 0.077ms
Inject: 0.112ms
Template: 0.027ms
Sort: 0.02ms
Debug: 0.077ms
Inject: 0.117ms
Template: 0.026ms
Sort: 0.262ms
Debug: 0.158ms
Inject: 0.083ms
Template: 0.027ms
Sort: 0.025ms
Debug: 0.206ms
Inject: 0.096ms
Template: 0.022ms
Sort: 0.026ms
Debug: 0.063ms
Inject: 0.187ms
Template: 0.03ms
Sort: 0.017ms
Debug: 0.055ms
Inject: 0.101ms
Template: 0.021ms
Sort: 0.028ms
Debug: 0.051ms
Inject: 0.08ms
Template: 0.021ms
Sort: 0.02ms
Debug: 0.056ms
Inject: 0.073ms
Template: 0.021ms
Sort: 0.021ms
Debug: 0.06ms
Inject: 0.077ms
Template: 0.039ms
Sort: 0.025ms
Debug: 0.054ms
Inject: 0.093ms
Template: 0.023ms
Sort: 0.018ms
Debug: 0.058ms
Inject: 0.078ms
Template: 0.022ms
Sort: 0.017ms
Debug: 0.057ms
Inject: 0.09ms
Template: 0.026ms
Sort: 0.021ms
Debug: 0.058ms
Inject: 0.092ms
Template: 0.022ms
Sort: 0.016ms
Debug: 0.054ms
