Server listening on  8443
Node-Red started
Inject: 1.236ms
Split: 1.429ms
Join: 0.143ms
Join: 0.016ms
Join: 0.015ms
Join: 0.015ms
Join: 0.029ms
Join: 0.016ms
Join: 0.013ms
Join: 0.024ms
Join: 0.018ms
Join: 0.304ms
Debug: 1.368ms
Inject: 0.099ms
Inject: 0.053ms
Split: 0.418ms
Split: 0.37ms
Switch: 0.274ms
Switch: 0.01ms
Switch: 0.025ms
Switch: 0.009ms
Switch: 0.026ms
Switch: 1.098ms
Change: 0.537ms
Change: 0.036ms
Change: 0.084ms
Change: 0.078ms
Change: 0.026ms
Change: 0.022ms
Join: 0.037ms
Join: 0.01ms
Join: 0.009ms
Join: 0.009ms
Join: 0.009ms
Join: 0.009ms
Join: 0.009ms
Join: 0.009ms
Join: 0.009ms
Join: 0.085ms
Debug: 0.323ms
Join: 0.036ms
Join: 0.011ms
Join: 0.012ms
Join: 0.009ms
Join: 0.01ms
Join: 0.067ms
Debug: 0.168ms
Inject: 0.092ms
Split: 0.134ms
Join: 0.041ms
Join: 0.011ms
Join: 0.009ms
Join: 0.025ms
Join: 0.008ms
Join: 0.007ms
Join: 0.007ms
Join: 0.007ms
Join: 0.007ms
Join: 0.089ms
Debug: 0.257ms
Inject: 0.072ms
Inject: 0.037ms
Split: 0.148ms
Split: 0.114ms
Switch: 0.027ms
Switch: 0.014ms
Switch: 0.008ms
Switch: 0.008ms
Switch: 0.008ms
Switch: 0.404ms
Change: 0.033ms
Change: 0.026ms
Change: 0.032ms
Change: 0.026ms
Change: 0.026ms
Change: 0.026ms
Join: 0.038ms
Join: 0.007ms
Join: 0.007ms
Join: 0.015ms
Join: 0.006ms
Join: 0.007ms
Join: 0.009ms
Join: 0.007ms
Join: 0.006ms
Join: 0.073ms
Debug: 0.298ms
Join: 0.029ms
Join: 0.008ms
Join: 0.007ms
Join: 0.007ms
Join: 0.096ms
Join: 0.095ms
Debug: 0.136ms
Inject: 0.084ms
Split: 0.152ms
Join: 0.025ms
Join: 0.009ms
Join: 0.008ms
Join: 0.007ms
Join: 0.007ms
Join: 0.012ms
Join: 0.009ms
Join: 0.007ms
Join: 0.008ms
Join: 0.079ms
Debug: 0.306ms
Inject: 0.086ms
Inject: 0.216ms
Split: 0.169ms
Split: 0.124ms
Switch: 0.024ms
Switch: 0.007ms
Switch: 0.007ms
Switch: 0.009ms
Switch: 0.012ms
Switch: 0.414ms
Change: 0.04ms
Change: 0.03ms
Change: 0.085ms
Change: 0.032ms
Change: 0.096ms
Change: 0.05ms
Join: 0.029ms
Join: 0.008ms
Join: 0.008ms
Join: 0.007ms
Join: 0.009ms
Join: 0.006ms
Join: 0.007ms
Join: 0.007ms
Join: 0.009ms
Join: 0.079ms
Debug: 0.232ms
Join: 0.028ms
Join: 0.007ms
Join: 0.007ms
Join: 0.012ms
Join: 0.007ms
Join: 0.061ms
Debug: 0.191ms
Inject: 0.077ms
Split: 0.148ms
Join: 0.025ms
Join: 0.026ms
Join: 0.007ms
Join: 0.02ms
Join: 0.008ms
Join: 0.007ms
Join: 0.007ms
Join: 0.007ms
Join: 0.007ms
Join: 0.074ms
Debug: 0.138ms
Inject: 0.362ms
Split: 0.161ms
Switch: 0.038ms
Switch: 0.007ms
Switch: 0.007ms
Switch: 0.006ms
Switch: 0.005ms
Switch: 0.175ms
Inject: 0.175ms
Change: 0.043ms
Change: 0.028ms
Change: 0.028ms
Change: 0.035ms
Change: 0.07ms
Change: 0.029ms
Split: 0.163ms
Join: 0.028ms
Join: 0.008ms
Join: 0.011ms
Join: 0.007ms
Join: 0.032ms
Join: 0.063ms
Join: 0.023ms
Join: 0.011ms
Join: 0.009ms
Join: 0.007ms
Join: 0.007ms
Join: 0.007ms
Join: 0.007ms
Join: 0.006ms
Join: 0.007ms
Join: 0.074ms
Debug: 0.189ms
Debug: 0.188ms
Inject: 0.095ms
Split: 0.686ms
Join: 0.047ms
Join: 0.011ms
Join: 0.008ms
Join: 0.008ms
Join: 0.038ms
Join: 0.022ms
Join: 0.007ms
Join: 0.007ms
Join: 0.016ms
Join: 0.128ms
Debug: 0.247ms
Inject: 0.077ms
Split: 0.18ms
Switch: 0.024ms
Switch: 0.007ms
Switch: 0.006ms
Switch: 0.007ms
