Server listening on  8443
Node-Red started
Inject: 0.814ms
WriteFile: 0.413ms
ReadFile: 0.379ms
Debug: 0.164ms
Inject: 0.086ms
WriteFile: 0.065ms
ReadFile: 0.22ms
Debug: 0.03ms
Inject: 0.087ms
WriteFile: 0.089ms
ReadFile: 0.057ms
Debug: 0.164ms
Inject: 0.088ms
WriteFile: 0.079ms
ReadFile: 0.055ms
Debug: 0.03ms
Inject: 0.072ms
WriteFile: 0.127ms
ReadFile: 0.056ms
Debug: 0.029ms
Inject: 0.083ms
WriteFile: 0.072ms
ReadFile: 0.057ms
Debug: 0.035ms
Inject: 0.089ms
WriteFile: 0.106ms
ReadFile: 0.048ms
Debug: 0.065ms
Inject: 0.075ms
WriteFile: 0.176ms
ReadFile: 0.045ms
Debug: 0.032ms
Inject: 0.318ms
WriteFile: 0.115ms
ReadFile: 0.153ms
Debug: 0.049ms
Inject: 0.075ms
WriteFile: 0.164ms
ReadFile: 0.112ms
Debug: 0.028ms
Inject: 0.181ms
WriteFile: 0.166ms
ReadFile: 0.179ms
Debug: 0.033ms
Inject: 0.073ms
WriteFile: 0.131ms
ReadFile: 0.164ms
Debug: 0.027ms
Inject: 0.072ms
WriteFile: 0.071ms
ReadFile: 0.073ms
Debug: 0.022ms
Inject: 0.052ms
WriteFile: 0.086ms
ReadFile: 0.051ms
Debug: 0.025ms
Inject: 0.068ms
WriteFile: 0.071ms
ReadFile: 0.042ms
Debug: 0.023ms
Inject: 0.053ms
WriteFile: 0.067ms
ReadFile: 0.037ms
Debug: 0.022ms
Inject: 0.053ms
WriteFile: 0.07ms
ReadFile: 0.048ms
Debug: 0.02ms
Inject: 0.055ms
WriteFile: 0.1ms
ReadFile: 0.067ms
Debug: 0.021ms
Inject: 0.062ms
WriteFile: 0.066ms
ReadFile: 0.049ms
Debug: 0.021ms
Inject: 0.065ms
WriteFile: 0.064ms
ReadFile: 0.04ms
Debug: 0.024ms
