Server listening on  8443
Node-Red started
Inject: 0.789ms
WriteFile: 0.427ms
ReadFile: 0.38ms
Debug: 0.155ms
Inject: 0.108ms
WriteFile: 0.064ms
ReadFile: 0.133ms
Debug: 0.03ms
Inject: 0.09ms
WriteFile: 0.169ms
ReadFile: 0.058ms
Debug: 0.114ms
Inject: 0.087ms
WriteFile: 0.081ms
ReadFile: 0.073ms
Debug: 0.032ms
Inject: 0.077ms
WriteFile: 0.102ms
ReadFile: 0.056ms
Debug: 0.029ms
Inject: 0.182ms
WriteFile: 0.073ms
ReadFile: 0.055ms
Debug: 0.035ms
Inject: 0.088ms
WriteFile: 0.083ms
ReadFile: 0.054ms
Debug: 0.033ms
Inject: 0.074ms
WriteFile: 0.176ms
ReadFile: 0.044ms
Debug: 0.033ms
Inject: 0.389ms
WriteFile: 0.103ms
ReadFile: 0.148ms
Debug: 0.049ms
Inject: 0.074ms
WriteFile: 0.171ms
ReadFile: 0.139ms
Debug: 0.029ms
Inject: 0.219ms
WriteFile: 0.153ms
ReadFile: 0.123ms
Debug: 0.033ms
Inject: 0.063ms
WriteFile: 0.128ms
ReadFile: 0.16ms
Debug: 0.027ms
Inject: 0.068ms
WriteFile: 0.06ms
ReadFile: 0.063ms
Debug: 0.021ms
Inject: 0.059ms
WriteFile: 0.111ms
ReadFile: 0.056ms
Debug: 0.022ms
Inject: 0.061ms
WriteFile: 0.074ms
ReadFile: 0.038ms
Debug: 0.018ms
Inject: 0.061ms
WriteFile: 0.074ms
ReadFile: 0.048ms
Debug: 0.019ms
Inject: 0.053ms
WriteFile: 0.072ms
ReadFile: 0.046ms
Debug: 0.021ms
Inject: 0.055ms
WriteFile: 0.07ms
ReadFile: 0.045ms
Debug: 0.022ms
Inject: 0.154ms
WriteFile: 0.064ms
ReadFile: 0.039ms
Debug: 0.024ms
Inject: 0.074ms
WriteFile: 0.065ms
ReadFile: 0.042ms
Debug: 0.023ms
