Server listening on  8443
Node-Red started
Inject: 0.868ms
Template: 0.076ms
WriteFile: 0.413ms
ReadFile: 0.644ms
Switch: 0.139ms
Switch: 0.007ms
Switch: 0.005ms
Switch: 0.005ms
Switch: 1.151ms
Join: 0.059ms
Join: 0.015ms
Join: 0.316ms
Debug: 0.116ms
Inject: 0.193ms
Template: 0.039ms
WriteFile: 0.153ms
ReadFile: 0.125ms
Switch: 0.016ms
Switch: 0.008ms
Switch: 0.008ms
Switch: 0.004ms
Switch: 0.383ms
Join: 0.043ms
Join: 0.117ms
Join: 0.08ms
Debug: 0.028ms
Inject: 0.093ms
Template: 0.027ms
WriteFile: 0.069ms
ReadFile: 0.045ms
Switch: 0.017ms
Switch: 0.007ms
Switch: 0.005ms
Switch: 0.005ms
Switch: 0.219ms
Join: 0.037ms
Join: 0.008ms
Join: 0.109ms
Debug: 0.029ms
Inject: 0.063ms
Template: 0.023ms
WriteFile: 0.211ms
ReadFile: 0.065ms
Switch: 0.013ms
Switch: 0.01ms
Switch: 0.009ms
Switch: 0.006ms
Switch: 0.208ms
Join: 0.035ms
Join: 0.008ms
Join: 0.038ms
Debug: 0.024ms
Inject: 0.056ms
Template: 0.023ms
WriteFile: 0.098ms
ReadFile: 0.15ms
Switch: 0.024ms
Switch: 0.004ms
Switch: 0.004ms
Switch: 0.003ms
Switch: 0.173ms
Join: 0.035ms
Join: 0.008ms
Join: 0.042ms
Debug: 0.035ms
Inject: 0.058ms
Template: 0.018ms
WriteFile: 0.086ms
ReadFile: 0.064ms
Switch: 0.014ms
Switch: 0.004ms
Switch: 0.004ms
Switch: 0.005ms
Switch: 0.146ms
Join: 0.033ms
Join: 0.058ms
Join: 0.037ms
Debug: 0.19ms
Inject: 0.095ms
Template: 0.023ms
WriteFile: 0.075ms
ReadFile: 0.054ms
Switch: 0.01ms
Switch: 0.003ms
Switch: 0.003ms
Switch: 0.002ms
Switch: 0.098ms
Join: 0.036ms
Join: 0.007ms
Join: 0.041ms
Debug: 0.032ms
Inject: 0.069ms
Template: 0.023ms
WriteFile: 0.182ms
ReadFile: 0.103ms
Switch: 0.011ms
Switch: 0.003ms
Switch: 0.002ms
Switch: 0.003ms
Switch: 0.125ms
Join: 0.051ms
Join: 0.021ms
Join: 0.055ms
Debug: 0.029ms
Inject: 0.079ms
Template: 0.029ms
WriteFile: 0.299ms
ReadFile: 0.164ms
Switch: 0.015ms
Switch: 0.006ms
Switch: 0.003ms
Switch: 0.003ms
Switch: 0.153ms
Join: 0.048ms
Join: 0.016ms
Join: 0.162ms
Debug: 0.053ms
Inject: 0.076ms
Template: 0.019ms
WriteFile: 0.083ms
ReadFile: 0.149ms
Switch: 0.01ms
Switch: 0.003ms
Switch: 0.003ms
Switch: 0.002ms
Switch: 0.097ms
Join: 0.035ms
Join: 0.021ms
Join: 0.046ms
Debug: 0.024ms
Inject: 0.061ms
Template: 0.017ms
WriteFile: 0.214ms
ReadFile: 0.059ms
Switch: 0.011ms
Switch: 0.004ms
Switch: 0.005ms
Switch: 0.002ms
Switch: 0.094ms
Join: 0.05ms
Join: 0.006ms
Join: 0.04ms
Debug: 0.03ms
Inject: 0.069ms
Template: 0.027ms
WriteFile: 0.103ms
ReadFile: 0.15ms
Switch: 0.012ms
Switch: 0.005ms
Switch: 0.003ms
Switch: 0.003ms
Switch: 0.097ms
Join: 0.027ms
Join: 0.005ms
Join: 0.04ms
Debug: 0.022ms
Inject: 0.068ms
Template: 0.024ms
WriteFile: 0.069ms
ReadFile: 0.078ms
Switch: 0.014ms
Switch: 0.003ms
Switch: 0.004ms
Switch: 0.003ms
Switch: 0.095ms
Join: 0.025ms
Join: 0.004ms
Join: 0.037ms
Debug: 0.016ms
Inject: 0.106ms
Template: 0.038ms
WriteFile: 0.08ms
ReadFile: 0.06ms
Switch: 0.012ms
Switch: 0.004ms
Switch: 0.003ms
Switch: 0.003ms
Switch: 0.109ms
Join: 0.024ms
Join: 0.005ms
Join: 0.042ms
Debug: 0.02ms
Inject: 0.057ms
Template: 0.024ms
WriteFile: 0.096ms
ReadFile: 0.055ms
Switch: 0.011ms
Switch: 0.004ms
Switch: 0.002ms
Switch: 0.003ms
Switch: 0.125ms
Join: 0.023ms
Join: 0.005ms
Join: 0.064ms
Debug: 0.033ms
Inject: 0.064ms
Template: 0.028ms
WriteFile: 0.072ms
ReadFile: 0.053ms
Switch: 0.011ms
Switch: 0.003ms
Switch: 0.003ms
Switch: 0.004ms
Switch: 0.091ms
Join: 0.022ms
Join: 0.005ms
Join: 0.04ms
Debug: 0.016ms
Inject: 0.047ms
Template: 0.019ms
WriteFile: 0.065ms
ReadFile: 0.063ms
Switch: 0.011ms
Switch: 0.003ms
Switch: 0.003ms
Switch: 0.005ms
Switch: 0.105ms
Join: 0.05ms
Join: 0.005ms
Join: 0.037ms
Debug: 0.031ms
Inject: 0.073ms
Template: 0.028ms
WriteFile: 0.085ms
ReadFile: 0.034ms
Switch: 0.012ms
Switch: 0.004ms
Switch: 0.016ms
Switch: 0.002ms
Switch: 0.223ms
Join: 0.039ms
Join: 0.006ms
Join: 0.073ms
Debug: 0.048ms
Inject: 0.063ms
Template: 0.112ms
WriteFile: 0.064ms
ReadFile: 0.054ms
Switch: 0.012ms
Switch: 0.004ms
Switch: 0.003ms
Switch: 0.003ms
Switch: 0.1ms
Join: 0.024ms
Join: 0.008ms
Join: 0.041ms
Debug: 0.016ms
Inject: 0.058ms
Template: 0.027ms
WriteFile: 0.063ms
ReadFile: 0.042ms
Switch: 0.01ms
Switch: 0.003ms
Switch: 0.003ms
Switch: 0.002ms
Switch: 0.09ms
Join: 0.021ms
Join: 0.005ms
Join: 0.066ms
Debug: 0.019ms
