Server listening on  8443
Node-Red started
Inject: 0.793ms
WriteFile: 2.427ms
ReadFile: 0.436ms
Debug: 0.161ms
Inject: 0.09ms
WriteFile: 0.194ms
ReadFile: 0.097ms
Debug: 0.042ms
Inject: 0.215ms
WriteFile: 0.134ms
ReadFile: 0.05ms
Debug: 0.119ms
Inject: 0.092ms
WriteFile: 0.086ms
ReadFile: 0.072ms
Debug: 0.03ms
Inject: 0.081ms
WriteFile: 0.106ms
ReadFile: 0.079ms
Debug: 0.038ms
Inject: 0.085ms
WriteFile: 0.094ms
ReadFile: 0.065ms
Debug: 0.038ms
Inject: 0.097ms
WriteFile: 0.105ms
ReadFile: 0.062ms
Debug: 0.035ms
Inject: 0.072ms
WriteFile: 0.213ms
ReadFile: 0.064ms
Debug: 0.034ms
Inject: 0.386ms
WriteFile: 0.164ms
ReadFile: 0.215ms
Debug: 0.047ms
Inject: 0.079ms
WriteFile: 0.274ms
ReadFile: 0.108ms
Debug: 0.029ms
Inject: 0.202ms
WriteFile: 0.151ms
ReadFile: 0.048ms
Debug: 0.032ms
Inject: 0.065ms
WriteFile: 0.111ms
ReadFile: 0.134ms
Debug: 0.026ms
Inject: 0.061ms
WriteFile: 0.09ms
ReadFile: 0.084ms
Debug: 0.026ms
Inject: 0.062ms
WriteFile: 0.09ms
ReadFile: 0.09ms
Debug: 0.023ms
Inject: 0.064ms
WriteFile: 0.112ms
ReadFile: 0.044ms
Debug: 0.02ms
Inject: 0.051ms
WriteFile: 0.084ms
ReadFile: 0.052ms
Debug: 0.022ms
Inject: 0.063ms
WriteFile: 0.081ms
ReadFile: 0.053ms
Debug: 0.02ms
Inject: 0.074ms
WriteFile: 0.091ms
ReadFile: 0.035ms
Debug: 0.019ms
Inject: 0.074ms
WriteFile: 0.082ms
ReadFile: 0.04ms
Debug: 0.02ms
Inject: 0.077ms
WriteFile: 0.079ms
ReadFile: 0.042ms
Debug: 0.021ms
